"CODE","LOCATION","TYPE","RATING (MAX = 5)","Address","Description","Long Description","Tags_Creation_Description","Ticket Info","image_path","open_time","close_time","coordinate","tags","image_url"
"FB029","Pho Quynh","F&B",4.3,"323 Pham Ngu Lao, Ho Chi Minh City, Vietnam","An authentic Vietnamese noodle shop with a delicious and savory broth.","","",3.0,"https://ak-d.tripcdn.com/images/100s0n000000el6eaA3F6.jpg","0:00","23:59","10.7674471, 106.690655","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888705/FB029.jpg"
"FB030","Saigon Grill Restaurant","F&B",4.6,"91 Pasteur, Top Floor Terrace , Saigon Royal Building | Ben Nghe Ward, District 1, Ho Chi Minh City 700000, Vietnam","Rooftop restaurant with views of local landmarks and delicious Vietnamese specialties","","",9.0,"https://ak-d.tripcdn.com/images/0102l12000d601kxc99C2.jpg","16:00","23:00","10.7769024, 106.6992778","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888706/FB030.jpg"
"FB031","MOO BEEF STEAK PRIME","F&B",4.8,"35 Ngô Đức Kế, Phường Sài Gòn, Quận 1, Hồ Chí Minh, Vietnam","Famous popular restaurant known for high-quality, tender steaks","","",65.0,"https://ak-d.tripcdn.com/images/0103x12000o8bv1v66723.jpg","10:30","22:00","10.7732065, 106.7056656","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888707/FB031.jpg"
"FB032","MAD House","F&B",3.0,"6/1/2 Ngyuen U Di, Thao Dien, Quan 2, Hcmc, Ho Chi Minh City 700000, Vietnam","MAD House is a lively and unconventional restaurant.","","",11.0,"https://ak-d.tripcdn.com/images/10050g0000007qe8063BF.jpg","08:00","22:00","10.8053693, 106.7418423","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888714/FB032.jpg"
"FB033","QUAN BUI - Original","F&B",4.8,"19 Ngo Van Nam Ben Nghe Ward, 1, Ho Chi Minh City 700000 Vietnam","A renowned establishment with artistic flair, preparing healthy cuisine using traditional recipes","","",16.0,"https://ak-d.tripcdn.com/images/0105112000bd2jbssA2D8.jpg","07:00","23:00","10.7813148, 106.7058729","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888716/FB033.jpg"
"FB034","Banh Mi Huynh Hoa","F&B",4.3,"26 Đ. Lê Thị Riêng, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh, Vietnam","Banh Mi (205 recommendations) | In business for over 30 years","","",3.0,"https://ak-d.tripcdn.com/images/0105v12000fetrx7g4097.jpg","06:00","22:00","10.7715364, 106.6923977","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888718/FB034.jpg"
"FB035","Dong Pho Restaurant","F&B",4.6,"57 Ho Xuan Huong Str, Dist 3, HCMC","Dong Pho Restaurant serves authentic Vietnamese cuisine.","","",13.0,"https://ak-d.tripcdn.com/images/0106312000d602i1t524C.png","10:00","21:00","10.7763759, 106.6875177","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888725/FB035.png"
"FB036","Ngon Restaurant","F&B",4.6,"160 Pasteur, Ho Chi Minh City 7000 Vietnam","Crispy Vietnamese pancakes (Recommended by 143 people) | Chinese-French-Vietnamese fusion style","","",18.0,"https://ak-d.tripcdn.com/images/0104212000khx0elfB6F5.jpg","07:00","22:30","10.7774178, 106.6996655","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888727/FB036.jpg"
"FB037","Annam Cafe Gourmet","F&B",5.0,"16-18 Hai Ba Trung St., Ben Nghe Ward.","It's a cafe serving gourmet Vietnamese cuisine.","","",9.0,"https://ak-d.tripcdn.com/images/100c0g0000007qeyt4122.jpg","7:00","21:00","10.776794, 106.70507","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888735/FB037.jpg"
"FB038","AKUNA Restaurant","F&B",5.0,"Le Méridien Saigon, Level 9, 3C Đ. Tôn Đức Thắng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam","A rooftop restaurant with spectacular night views and an incredibly satisfying signature burger","","",204.0,"https://ak-d.tripcdn.com/images/0102212000jdroosj064D.jpg","18:00","22:00","10.7799889, 106.7073396","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888736/FB038.jpg"
"FB039","Barbecue Garden","F&B",4.5,"448 Đường 3 Tháng 2, Phường 12, Quận 10, Thành phố Hồ Chí Minh","It's an outdoor barbecue restaurant.","","",15.0,"https://ak-d.tripcdn.com/images/100i0k000000c9npuD836.jpg","09:00","23:00","10.7688969, 106.6683485","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888746/FB039.jpg"
"FB040","Mekong Merchant Saigon","F&B",3.0,"23 Thao Dien | District 2, Ho Chi Minh City","It's a charming colonial villa restaurant with a lush garden setting.","","",8.0,"https://ak-d.tripcdn.com/images/100a0k000000c9bh400F0.jpg","07:00","23:00","10.8034332, 106.7375136","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888757/FB040.jpg"
"FB041","Chanh Bistro Rooftop Saigon","F&B",3.0,"43-45 ho Tung Mau, Ben Nghe, Quan 01, Ho Chi Minh City 00000","Enjoy city views from the terrace and savor delicious Western cuisine","","",35.0,"https://ak-d.tripcdn.com/images/100g0k000000cav92B688.jpg","10:30","23:00","10.7727413, 106.6956617","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888759/FB041.jpg"
"FB042","San Fu Lou Cantonese Kitchen","F&B",4.1,"Ground Floor AB Tower, 76A Le Lai Street, District 1 Ho Chi Minh City, Vietnam 70","San Fu Lou offers refined Cantonese cuisine in a sophisticated setting.","","",21.0,"https://ak-d.tripcdn.com/images/0104o1200086ig47tF4F0.jpg","7:00","2:30","10.7704659, 106.6942889","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888769/FB042.jpg"
"FB043","Pho Le","F&B",4.3,"415 Nguyen Trai, Ho Chi Minh City 70000 Vietnam","Established in 1970, specializing in beef pho","","",3.0,"https://ak-d.tripcdn.com/images/0106q12000oext8phD09D.jpg","6:00","23:59","10.7552959, 106.6735196","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888771/FB043.jpg"
"FB044","Pho Hoa Pasteur","F&B",4.7,"260C Pasteur, Phường 8, Quận 3, Thành phố Hồ Chí Minh","Traditional Vietnamese pho restaurant that has stood strong in the industry for decades with its distinctive flavors","","",5.0,"https://ak-d.tripcdn.com/images/10040n000000ei5414901.jpg","06:00","22:30","10.7867054, 106.6892593","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888772/FB044.jpg"
"FB045","3G TROIS GOURMANDS","F&B",4.5,"39 Tran Ngoc Dien Street, Thao Dien Ward, District 2, HCM City","Award-winning restaurant with world food honors, serving excellent French cuisine","","",99.0,"https://ak-d.tripcdn.com/images/0104p12000jcoe2vb3EF4.jpg","11:30","23:00","10.8061141, 106.7406539","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888774/FB045.jpg"
"FB046","My Banh Mi","F&B",3.7,"57 Nguyen Du Street, Ben Nghe Ward, District 1, Ho Chi Minh City 70000","A hidden gem of a bakery with a variety of sandwich flavors to choose from.","","",8.0,"https://ak-d.tripcdn.com/images/100w0k000000cfwuz430D.jpg","9:30","19:30","10.7792353, 106.7005046","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888777/FB046.jpg"
"FB047","Mandarine Restaurant","F&B",4.3,"11A Ngo Van Nam Street, Ben Nghe Ward, District 1, HCMC","A quaint and elegant Vietnamese restaurant that offers a variety of exciting live performances.","","",62.0,"https://ak-d.tripcdn.com/images/0101l12000jdqsrnu453D.jpg","11:30","22:00","10.781083, 106.706074","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888779/FB047.jpg"
"FB048","Le Jardin","F&B",4.0,"31 Thai Van Lung, Ben Nghe, District 1, Ho Chi Minh","Le Jardin is a restaurant with a lush, garden-like atmosphere.","","",25.0,"https://ak-d.tripcdn.com/images/100k0g0000007q77k77EE.jpg","11:30","21:00","10.7800089, 106.7033491","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888787/FB048.jpg"
"FB049","Anan Saigon","F&B",4.6,"89 Ton That Dam, D1, HCMC","Anan Saigon serves inventive, modern Vietnamese cuisine.","","",126.0,"https://ak-d.tripcdn.com/images/0106q12000jdr819cB1A4.jpg","17:00","23:00","10.771729, 106.702893","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888794/FB049.jpg"
"FB050","The Workshop","F&B",4.3,"27 Ngo Duc Ke, P. Ben Nghe, Q.1 (2nd floor), Ho Chi Minh City, Vietnam","The Workshop offers artisanal, handcrafted cuisine in a creative setting.","","",6.0,"https://ak-d.tripcdn.com/images/0105u12000knbv1l84CCA.jpg","8:00","20:30","10.7734764, 106.7056037","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888802/FB050.jpg"
"FB051","La Fiesta","F&B",4.0,"128 Ly Tu Trong, Ben Thanh Ward, Quan 1, Ho Chi Minh City, Vietnam, 0000","La Fiesta is a lively Mexican restaurant.","","",14.0,"https://ak-d.tripcdn.com/images/0103t12000bd2jskg7605.jpg","11:00","22:00","10.7738714, 106.6966781","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888811/FB051.jpg"
"FB052","Ciao Bella IL Primo","F&B",5.3,"11 Dong Du Street District 1, Ho Chi Minh City Vietnam Vietnam","Ciao Bella IL Primo is a premier Italian restaurant.","","",33.0,"https://ak-d.tripcdn.com/images/0104212000bcu914y3474.jpg","11:00","22:00","10.776279, 106.7050189","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888819/FB052.jpg"
"FB053","The View Rooftop Bar","F&B",4.3,"On the 9th floor of Duc Vuong Hotel, 195 Đ. Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh 700000, Vietnam","A rooftop bar offering spectacular views.","","",12.0,"https://ak-d.tripcdn.com/images/0105b12000h5x44f366A8.jpg","7:00","2:00","10.7657195, 106.6910607","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888826/FB053.jpg"
"FB054","Nha Tu Restaurant","F&B",5.0,"129/4 Vo Van Tan Street, Vo Thi Sau Ward, District 3, Ho Chi Minh City","Nha Tu Restaurant is a uniquely themed eatery designed to resemble a prison.","","",18.0,"https://ak-d.tripcdn.com/images/0101012000o23hkl967AB.jpg","10:00","22:30","10.7751517, 106.6895494","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888831/FB054.jpg"
"FB055","Nha Hang Tan Hai Van","F&B",4.0,"164 Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh","Nha Hang Tan Hai Van offers authentic Vietnamese cuisine.","","",8.0,"https://ak-d.tripcdn.com/images/0101j12000neld3893F1E.jpg","0:00","23:59","10.7693245, 106.6903112","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888838/FB055.jpg"
"FB056","HOME SAIGON","F&B",4.7,"216/4 Dien Bien Phu, Ward 4, District 3, Ho Chi Minh City","HOME SAIGON offers authentic, home-style Vietnamese cuisine in a welcoming atmosphere.","","",55.0,"https://ak-d.tripcdn.com/images/100112000000t2wzl181C.jpg","11:00","22:00","10.7831137, 106.6896044","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888845/FB056.jpg"
"FB057","Maison Marou Flagship Saigon","F&B",4.3,"167 – 169 CALMETTE ST, D1, HCMC","Maison Marou Flagship Saigon is a premier cafe offering exquisite Vietnamese craft chocolate and treats.","","",11.0,"https://ak-d.tripcdn.com/images/0103i12000oeym18e9211.jpg","09:00","22:30","10.7695947, 106.6978034","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888857/FB057.jpg"
"FB058","Ocean Palace","F&B",4.5,"2 Le Duan, Ben Nghe, District 1, Ho Chi Minh","It's a grand restaurant specializing in seafood.","","",16.0,"https://ak-d.tripcdn.com/images/0102a12000nelrcezF67B.jpg","9:00","23:00","10.7873697, 106.7044803","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888869/FB058.jpg"
"FB059","Hoang Tam","F&B",4.6,"TK22/1 Đ. Nguyễn Cảnh Chân, Cầu Kho, Quận 1, Thành phố Hồ Chí Minh, Vietnam","The restaurant's decor is quaint and unique, and it serves a wide variety of local dishes.","","",14.0,"https://ak-d.tripcdn.com/images/0105712000jbmjtso7FFE.jpg","10:00","22:00","10.7573803, 106.6891377","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888871/FB059.jpg"
"FB060","Bep Cuon Sai Gon","F&B",4.5,"76 Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Ho Chi Minh City 70000 Vietnam","Bright, elegant ambiance and renowned Vietnamese classics","","",11.0,"https://ak-d.tripcdn.com/images/0101q12000khy1wfb4067.jpg","10:30","21:00","10.82293, 106.62975","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888872/FB060.jpg"
"FB061","Lai","F&B",4.7,"28th Floor, Sedona Suite, 92-94 Nam Kỳ Khởi Nghĩa, Bến Nghé Ward, District 1, Ho Chi Minh City","Quality Chinese cuisine cooked to perfection, with beautiful city views from the 28th floor","","",41.0,"https://ak-d.tripcdn.com/images/0103s12000d5zxurk945F.jpg","11:30","22:30","10.7728907, 106.7005597","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888874/FB061.jpg"
"FB062","Pizza 4P's Le Thanh Ton","F&B",5.2,"8/15 Le Thanh Ton, Ben Nghe Ward, District 1, Ho Chi Minh City","Unique cave-style design, serving quality pizzas baked with carefully selected fresh ingredients","","",17.0,"https://ak-d.tripcdn.com/images/0104h12000o200ou53A71.jpg","11:00","23:00","10.7818738, 106.7051397","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888875/FB062.jpg"
"FB063","Breeze Sky Bar","F&B",4.8,"01 Dong Khoi Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam, 008428","An elegant retro bar with a terrace offering breathtaking views of the Saigon River.","","",37.0,"https://ak-d.tripcdn.com/images/0102912000chtttzw1936.jpg","0:00","23:59","10.7730436, 106.7062459","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888876/FB063.jpg"
"FB064","Firkin Bar","F&B",4.4,"20 Mac Thi Buoi St., Ben Nghe W, District., Ho Chi Minh City, Ho Chi Minh City, Vietnam","Firkin Bar is a casual pub known for its diverse beer selection.","","",12.0,"https://ak-d.tripcdn.com/images/0104512000chtm5462D48.jpg","18:00","1:00","10.7758456, 106.7049606","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888884/FB064.jpg"
"FB065","Di Mai Restaurant - Vincom Landmark 81","F&B",5.0,"772 Dien Bien Phu L02-03, Vincom Center Landmark 81, Binh Thanh District, Ho Chi Minh City 700000 Vietnam","Di Mai Restaurant is a modern dining spot located within Vincom Landmark 81.","","",14.0,"https://ak-d.tripcdn.com/images/0102p12000jbnb7910672.jpg","10:30","22:00","10.795032, 106.72191","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888892/FB065.jpg"
"FB066","Drinking & Healing","F&B",4.8,"2nd Floor, 25 Ho Tung Mau St.,District 1 HCM City","It offers drinks for relaxation and restoration.","","",20.0,"https://ak-d.tripcdn.com/images/0100a12000chu4j2m788C.jpg","18:30","02:00","10.770513, 106.7044597","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888904/FB066.jpg"
"FB067","Banh Canh Cua","F&B",4.0,"87 Tran Khac Chan, District 1, Ho Chi Minh City","Banh Canh Cua specializes in Vietnamese crab noodle soup.","","",1.0,"https://ak-d.tripcdn.com/images/10090k000000cd7au0BCB.jpg","15:30","20:30","10.794567, 106.69094","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888913/FB067.jpg"
"FB068","Oc Oanh","F&B",4.8,"534 Vinh Khanh Ward 8, District 4, Ho Chi Minh City 70,000 Vietnam","Oc Oanh is a popular Vietnamese restaurant specializing in snails and shellfish.","","",16.0,"https://ak-d.tripcdn.com/images/0101h12000jbmqb87A899.jpg","13:00","00:00","10.760936, 106.7033","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888920/FB068.jpg"
"FB069","Skewers Restaurant","F&B",4.9,"9A Thai Van Lung, Dist.1, HCMC","It specializes in a variety of grilled, skewered dishes.","","",33.0,"https://ak-d.tripcdn.com/images/100s0n000000e8j0w3BD2.jpg","11:30","22:00","10.7790176, 106.7046931","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888927/FB069.jpg"
"FB070","Pho Kim Hung","F&B",4.7,"Chung Cư Mỹ Phúc, 78 Lý Long Tường, Tân Phong, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam","Pho Kim Hung is a Vietnamese restaurant specializing in pho.","","",3.0,"https://ak-d.tripcdn.com/images/0100n12000jfqtjw3B167.jpg","6:00","22:00","10.7231888, 106.7098772","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888932/FB070.jpg"
"FB071","Social Club Rooftop Bar","F&B",5.0,"76 - 78 Nguyen Thi Minh Khai, Dist.3, 70000 Ho Chi Minh City Vietnam","It's a rooftop bar designed for socializing while enjoying city views.","","",20.0,"https://ak-d.tripcdn.com/images/0103m12000chujd1o829A.jpg","15:00","1:00","10.7823659, 106.6973005","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888940/FB071.jpg"
"FB072","Pizza 4P's PMH","F&B",4.3,"Lot MD2, Nguyen Van Linh Boulevard, Tan Phu Ward, Dist. 7 Ho Chi Minh City 70000, Vietnam","Pizza 4P's PMH offers high-quality, artisanal pizzas in a stylish setting.","","",22.0,"https://ak-d.tripcdn.com/images/0103k12000khxwvmt9B4A.jpg","10:00","22:00","10.731796, 106.716736","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888953/FB072.jpg"
"FB073","Hoang Yen Vietnamese Cuisine - Ngo Duc Ke","F&B",5.0,"7 Ngo Duc Ke Street, Dist. 1, Ho Chi Minh City Vietnam","Hoang Yen Vietnamese Cuisine at Ngo Duc Ke offers a diverse menu of traditional Vietnamese dishes.","","",11.0,"https://ak-d.tripcdn.com/images/0100y12000d602h3y8D7A.png","10:00","22:00","10.7740716, 106.7060276","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888961/FB073.png"
"FB074","The Iron Bank - Cocktail Vault","F&B",4.8,"47 Ton That Dam, Ho Chi Minh City, Vietnam","Medieval-style cocktail bar with an emphasis on mixology and atmosphere","","",7.0,"https://ak-d.tripcdn.com/images/0105412000chttz6a57EA.jpg","17:00","01:00","10.770217, 106.703528","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888962/FB074.jpg"
"FB075","Hum, Garden & Restaurant","F&B",5.0,"32, D10 Street Thao Dien Ward, District 2, Ho Chi Minh City Vietnam","Hum, Garden & Restaurant offers a unique blend of dining amidst natural surroundings.","","",15.0,"https://ak-d.tripcdn.com/images/0104y12000d6042a064F8.png","10:00","22:00","10.804406, 106.74405","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888971/FB075.png"
"FB076","Layla - Eatery & Bar","F&B",4.9,"Second floor, 63 Đ. Đông Du, Bến Nghé, Quận 1, 700000, Vietnam","A sophisticated, artistic design with popular creative cocktails","","",8.0,"https://ak-d.tripcdn.com/images/0102412000chtlwv4E48D.jpg","16:00","1:00","10.7754096, 106.7041427","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888973/FB076.jpg"
"FB077","THE VINTAGE EMPORIUM DA KAO, DISTRICT. 01","F&B",4.0,"95B Nguyen Van Thu, Da Kao.","Simple retro decor, brunch made with premium ingredients","","",9.0,"https://ak-d.tripcdn.com/images/0104q12000oezdljm4708.jpg","7:00","21:00","10.7900984, 106.6992559","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888974/FB077.jpg"
"FB078","EL GAUCHO | HAI BA TRUNG, D1 | HCMC","F&B",4.0,"74/1 HAI BA TRUNG, BEN NGHE WARD, DIST. 1, HCMC","A hugely popular classic restaurant serving high-quality American steaks","","",82.0,"https://ak-d.tripcdn.com/images/0102g12000khxnvvt2653.jpg","11:00","23:00","10.778066, 106.7036095","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888975/FB078.jpg"
"FB079","Wrap and Roll","F&B",4.8,"Tầng trệt M Plaza, 39 Đ. Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000","Wrap and Roll offers fresh Vietnamese wraps and rolls.","","",10.0,"https://ak-d.tripcdn.com/images/0106f12000d602lah352E.png","10:00","22:30","10.7812738, 106.7006301","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888983/FB079.png"
"FB080","Big Bowl Pho","F&B",3.8,"Tan Son Nhat International Airport International Terminal, 2d Floor, Ho Chi Minh City 70000 Vietnam","Big Bowl Pho offers generous bowls of Vietnamese noodle soup.","","",7.0,"https://ak-d.tripcdn.com/images/1004hk133uym4dmjkE291.jpg","0:00","23:59","10.817203, 106.663818","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888990/FB080.jpg"
"FB081","Hun Khoi BBQ","F&B",4.0,"13 Pasteur District 1, Ho Chi Minh City 70000 Vietnam","Hun Khoi BBQ is a barbecue restaurant.","","",13.0,"https://ak-d.tripcdn.com/images/100f1g000001h5feg202B.jpg","11:00","23:00","10.769688, 106.70292","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888998/FB081.jpg"
"FB082","The Snap Cafe","F&B",4.0,"32 Tran Ngoc Dien Street | Thao Dien Ward, District 2, Ho Chi Minh City 70000, Vietnam","The Snap Cafe is a relaxed outdoor village featuring diverse food stalls and unique boutiques.","","",10.0,"https://ak-d.tripcdn.com/images/0104t1200085tfbkuBBEC.jpg","7:30","22:00","10.8053893, 106.7408135","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761889006/FB082.jpg"
"FB083","pho Trang","F&B",4.0,"111 Phan Dang Luu, Ho Chi Minh City 84, Vietnam","Pho Trang is a popular spot for authentic Vietnamese pho.","","",3.0,"https://ak-d.tripcdn.com/images/0100o120009hj1eag47A9.jpg","07:00","20:00","10.8036495, 106.6851204","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761889012/FB083.jpg"
"FB084","Sushi Hokkaido Sachi","F&B",4.0,"40-42 Dong du Street, Ben Nghe Ward, District 1 | B3-10A, Vincom Center, 70-72 le Thanh Ton Street, District 1, Ho Chi Minh City 70000, Vietnam","It's a Japanese sushi restaurant known for fresh, high-quality seafood with Hokkaido inspiration.","","",28.0,"https://ak-d.tripcdn.com/images/100q060000001n6g22E0B.jpg","10:30","23:00","10.7765188, 106.7048469","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761889023/FB084.jpg"
"FB085","Chill Skybar & Dining","F&B",5.0,"Rooftop, Level 26, AB Tower, 76A Le Lai , District 1, HCMC, Vietnam","Chill Skybar & Dining offers a sophisticated sky-high dining and bar experience with panoramic city views.","","",62.0,"https://ak-d.tripcdn.com/images/0105w12000e57qh035777.jpg","17:30","1:30","10.7705646, 106.6943776","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761889033/FB085.jpg"
"FB086","STIR - Modern Classic Cocktail","F&B",5.0,"","","","",16.0,"https://ak-d.tripcdn.com/images/0105t12000khwjrrb1B27.jpg","18:00","2:00","10.7737341, 106.6980241","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761889043/FB086.jpg"
